1	0.000599	0
0.99	0.002969	0
0.98	0.005333	0
0.97	0.007687	0
0.96	0.010023	0
0.94	0.014624	0
0.92	0.019116	0
0.9	0.023502	0
0.88	0.027789	0
0.86	0.031974	0
0.84	0.036054	0
0.82	0.040024	0
0.8	0.043884	0
0.78	0.047628	0
0.76	0.051257	0
0.74	0.054767	0
0.72	0.05816	0
0.7	0.061433	0
0.68	0.064584	0
0.66	0.067605	0
0.64	0.070482	0
0.62	0.073206	0
0.6	0.075763	0
0.58	0.078145	0
0.56	0.080348	0
0.54	0.082371	0
0.52	0.084214	0
0.5	0.085877	0
0.48	0.087357	0
0.46	0.088643	0
0.44	0.089718	0
0.42	0.090566	0
0.4	0.091171	0
0.38	0.091521	0
0.36	0.091627	0
0.34	0.091508	0
0.32	0.091186	0
0.3	0.09068	0
0.28	0.090002	0
0.26	0.089084	0
0.24	0.087831	0
0.22	0.086143	0
0.2	0.08392	0
0.18	0.081069	0
0.16	0.077571	0
0.14	0.073436	0
0.12	0.06862	0
0.1	0.062998	0
0.08	0.056431	0
0.06	0.048757	0
0.05	0.044275	0
0.04	0.039128	0
0.03	0.033022	0
0.02	0.025374	0
0.012	0.017858	0
0.008	0.013735	0
0.004	0.008924	0
0.002	0.005803	0
0.001	0.003727	0
0.0005	0.002339	0
0	0	0
0.0005	-0.00467	0
0.001	-0.005942	0
0.002	-0.007811	0
0.004	-0.010513	0
0.008	-0.014286	0
0.012	-0.016973	0
0.02	-0.020272	0
0.03	-0.022606	0
0.04	-0.024521	0
0.05	-0.026045	0
0.06	-0.027128	0
0.08	-0.028459	0
0.1	-0.029379	0
0.12	-0.029963	0
0.14	-0.03024	0
0.16	-0.030255	0
0.18	-0.030049	0
0.2	-0.029666	0
0.22	-0.029145	0
0.24	-0.028518	0
0.26	-0.027816	0
0.28	-0.02707	0
0.3	-0.026308	0
0.32	-0.025556	0
0.34	-0.024818	0
0.36	-0.024087	0
0.38	-0.023361	0
0.4	-0.022634	0
0.42	-0.021904	0
0.44	-0.021171	0
0.46	-0.020435	0
0.48	-0.019699	0
0.5	-0.018962	0
0.52	-0.018226	0
0.54	-0.017491	0
0.56	-0.016757	0
0.58	-0.016023	0
0.6	-0.015289	0
0.62	-0.014555	0
0.64	-0.013821	0
0.66	-0.013086	0
0.68	-0.012351	0
0.7	-0.011617	0
0.72	-0.010882	0
0.74	-0.010148	0
0.76	-0.009413	0
0.78	-0.008679	0
0.8	-0.007944	0
0.82	-0.00721	0
0.84	-0.006475	0
0.86	-0.005741	0
0.88	-0.005006	0
0.9	-0.004272	0
0.92	-0.003537	0
0.94	-0.002803	0
0.96	-0.002068	0
0.97	-0.001701	0
0.98	-0.001334	0
0.99	-0.000967	0
1	-0.000599	0
